100
56 113
3 38 38
23 2 38
19 23 38
3 45 9
20 13 39
25 19 26
22 10 38
43 4 44
22 45 38
9 16 44
28 45 26
16 43 44
18 30 26
39 19 39
7 13 39
20 6 20
27 3 38
3 34 26
1 30 26
42 45 26
19 27 38
15 7 38
28 5 26
43 36 39
8 45 26
42 47 39
15 18 38
6 13 39
30 46 39
31 10 10
11 5 11
11 44 44
6 30 26
14 47 26
21 27 39
28 25 26
3 7 26
5 44 44
22 17 38
21 43 39
1 21 39
34 24 18
29 22 39
41 32 32
41 10 26
6 39 39
37 40 26
23 28 38
12 8 26
3 12 12
2 6 38
40 20 26
41 32 32
19 25 26
47 18 39
12 19 26
3 39 39
38 22 38
41 74
8 32 41
38 13 41
35 27 13
8 17 13
28 7 41
3 16 41
4 3 41
35 30 30
27 12 41
10 14 40
37 10 41
25 28 41
35 24 41
7 8 13
23 25 13
8 21 13
4 22 41
18 24 41
36 8 41
11 32 41
10 11 41
35 18 41
30 16 13
22 39 41
13 23 13
11 36 41
12 34 41
1 33 39
18 1 40
16 27 13
11 27 41
13 33 41
26 36 41
11 37 34
26 25 41
18 26 40
15 9 41
21 26 41
5 2 39
10 18 40
35 8 13
29 2 29
39 33 39
18 19 41
40 2 40
39 21 41
8 20 41
33 21 41
37 12 41
9 4 9
1 29 39
4 26 40
15 23 41
39 28 39
36 39 41
13 17 13
19 15 41
15 32 41
9 5 9
21 41 41
26 1 40
29 26 40
17 1 41
7 32 41
37 7 41
37 41 41
16 21 13
34 12 41
29 24 41
9 23 41
23 37 41
12 27 41
19 26 41
7 2 41
36 88
9 23 23
12 24 20
26 14 23
32 16 16
34 32 20
7 17 17
31 10 23
36 18 34
22 35 20
31 23 23
4 1 21
2 1 21
21 15 20
35 32 35
32 12 20
9 36 21
4 2 29
20 3 20
34 36 34
4 25 16
10 9 23
19 4 21
25 20 16
33 15 17
5 30 16
28 14 21
18 13 34
21 4 21
28 32 20
11 16 16
28 24 20
5 16 16
30 24 17
18 16 16
2 25 16
14 19 21
29 18 21
20 24 20
34 33 20
23 21 23
7 23 20
35 20 20
27 28 23
14 24 20
3 20 20
1 12 22
35 2 20
23 32 20
24 13 20
29 2 29
1 21 21
10 22 23
26 19 23
21 6 16
2 23 23
29 34 35
31 19 34
17 24 17
32 17 17
28 26 23
10 9 23
32 5 16
26 25 16
33 1 20
12 18 34
17 10 20
34 31 34
13 34 34
15 36 20
16 21 16
17 14 20
9 4 29
19 5 16
29 1 21
24 20 20
28 6 16
32 33 35
5 30 16
6 35 16
26 17 20
25 18 16
22 2 21
6 5 16
7 33 17
23 4 23
28 12 34
29 7 20
27 36 23
54 12
21 43 47
47 25 47
25 6 47
11 2 14
35 48 47
49 11 47
32 34 47
35 9 47
43 13 14
52 12 47
26 2 47
8 51 47
47 72
32 16 2
28 39 2
2 45 2
42 5 26
13 42 26
6 31 26
11 42 26
8 3 17
47 20 26
16 11 26
15 39 8
41 23 26
25 32 26
12 20 34
3 23 26
17 2 26
47 10 26
4 22 26
18 35 26
34 16 2
7 25 26
45 43 2
47 25 42
1 21 26
13 27 13
36 19 6
29 31 26
32 11 26
23 12 26
29 41 2
6 30 40
39 29 8
15 5 26
28 32 2
26 43 26
37 11 26
25 12 26
16 1 35
38 9 43
38 40 2
36 22 2
38 35 26
24 37 26
7 17 15
25 23 33
16 25 28
29 3 2
32 21 26
16 45 2
2 37 2
31 3 11
3 6 2
45 13 26
33 15 34
34 35 26
16 47 26
4 28 26
44 41 2
26 14 26
35 41 26
6 28 2
35 28 26
14 39 2
44 21 21
9 15 34
44 12 26
19 46 2
43 11 26
3 21 45
38 42 34
16 45 2
2 26 26
57 57
33 32 8
15 27 8
54 16 49
7 41 55
27 30 11
21 33 8
31 14 11
37 53 11
46 18 11
26 13 8
19 49 8
49 53 11
42 9 8
7 48 11
53 32 11
43 28 11
49 1 49
46 37 11
10 30 20
41 13 32
52 40 11
52 13 8
2 13 32
31 11 11
41 38 8
32 11 11
23 11 11
50 9 8
42 24 11
23 26 8
45 50 11
50 24 11
26 8 8
49 9 8
52 31 22
16 10 11
41 38 8
10 2 11
1 52 8
52 10 11
7 18 11
41 51 11
45 28 11
36 4 8
8 55 55
35 7 11
3 39 11
27 24 11
38 25 8
28 37 11
6 49 11
17 48 17
10 31 11
1 16 49
57 8 11
57 6 11
17 28 11
17 10
16 6 8
10 17 9
8 5 9
14 2 8
10 12 9
12 11 9
11 8 11
10 11 11
9 16 9
14 11 11
59 26
52 28 55
54 35 55
39 24 55
10 1 10
7 17 55
36 1 41
31 20 41
10 20 41
47 58 46
34 55 55
1 42 41
42 11 46
26 10 17
45 25 45
19 24 55
4 1 55
4 52 55
31 59 31
4 43 55
45 37 17
8 46 41
9 32 41
19 17 17
50 27 55
19 17 17
48 42 55
9 64
9 5 5
7 9 6
2 9 5
4 6 4
3 8 5
6 2 5
7 1 5
9 6 6
8 5 5
1 2 1
2 5 4
2 1 1
9 4 4
9 4 4
3 5 5
1 3 5
9 6 7
1 5 5
5 3 5
1 2 1
3 2 5
5 1 5
1 7 5
5 9 8
9 3 6
5 9 5
1 8 5
5 6 4
3 7 3
9 3 6
7 4 4
7 8 5
8 4 5
3 4 2
8 1 2
6 9 6
5 2 5
6 8 5
2 6 5
3 7 3
5 4 5
9 7 6
3 1 5
5 9 5
6 2 5
6 5 5
3 7 3
5 4 5
1 5 5
2 4 5
2 9 5
7 3 3
3 6 6
7 1 5
9 8 5
4 9 9
5 8 5
1 4 5
3 6 6
9 7 6
9 8 5
9 3 6
4 3 4
3 1 5
51 103
16 29 29
11 2 47
32 39 9
17 51 35
44 34 9
45 26 26
40 25 9
12 2 9
30 12 9
16 48 43
39 11 47
19 48 43
9 18 9
44 6 9
29 25 9
33 37 29
36 30 9
30 6 9
27 3 47
17 31 17
37 9 9
23 9 9
25 42 12
32 39 9
35 13 34
33 45 9
35 1 9
50 37 9
14 21 9
18 22 9
40 49 9
25 1 25
34 15 9
7 49 9
4 7 9
47 51 9
23 8 9
3 17 50
30 28 9
17 28 9
4 28 9
37 17 9
12 49 25
24 37 9
24 34 9
33 43 43
34 33 34
15 6 9
46 42 9
11 10 9
4 12 9
47 27 47
16 38 43
46 3 14
30 1 9
27 23 9
15 30 2
4 36 9
24 39 47
22 9 9
14 17 2
7 14 9
33 19 43
5 27 9
25 2 9
34 18 34
33 36 9
17 41 47
25 6 9
24 22 47
46 16 9
39 47 47
15 10 9
43 30 9
44 49 25
47 40 9
25 38 9
24 37 9
21 35 9
20 29 29
39 37 9
14 3 14
26 40 9
44 45 9
35 16 43
14 40 9
47 11 47
50 41 9
40 23 40
27 29 9
50 8 9
51 6 9
20 37 29
33 51 9
29 4 9
46 35 9
31 41 47
16 37 29
9 10 9
42 51 25
10 39 9
10 40 10
31 30 2
34 58
12 1 23
31 33 14
25 10 23
18 5 23
9 1 14
33 13 27
15 18 23
33 7 23
11 1 14
18 25 20
7 28 23
4 25 23
30 23 23
17 10 14
2 30 23
2 11 14
11 29 19
19 5 14
2 12 23
25 8 20
18 21 23
27 21 23
9 6 23
20 10 23
1 5 1
22 28 14
17 15 14
7 22 23
26 34 23
6 23 23
2 21 23
30 16 20
18 10 23
27 30 23
17 25 23
28 13 14
27 19 4
32 23 23
1 29 14
26 1 23
14 19 14
10 33 2
34 15 14
4 13 14
13 5 5
31 17 14
15 17 14
2 1 1
32 22 14
1 13 1
22 4 3
30 7 20
9 6 23
1 33 1
2 8 23
20 11 23
4 18 23
18 6 20
60 120
55 42 25
45 22 25
46 6 4
1 11 25
30 33 25
35 5 25
25 20 25
25 23 25
43 51 4
37 58 9
34 49 9
19 34 45
27 6 4
35 48 4
47 36 25
17 30 25
1 59 25
23 21 25
49 48 4
60 6 4
58 8 4
51 47 25
17 5 17
8 50 4
32 19 4
56 25 25
17 25 25
3 10 25
34 57 9
17 45 25
60 26 25
13 27 25
31 20 4
26 24 25
42 35 4
46 4 4
8 27 4
21 9 25
12 30 4
60 35 35
2 60 4
32 6 32
52 58 9
38 19 25
34 14 25
29 47 25
7 57 7
5 38 17
54 56 4
12 4 4
29 30 4
29 35 4
53 3 25
47 22 25
41 54 25
52 24 4
11 44 25
16 38 17
43 9 9
37 4 4
56 18 25
46 36 36
43 13 25
30 13 25
4 10 4
27 29 9
46 14 25
53 42 25
33 2 25
58 60 4
33 15 25
9 41 25
42 1 4
49 23 9
47 43 25
9 57 9
17 60 25
8 58 4
23 52 9
7 4 4
48 35 4
51 34 4
42 48 4
25 21 25
31 51 4
13 39 25
13 53 13
27 21 25
54 42 4
38 40 55
59 42 25
44 56 4
53 30 25
41 8 25
28 22 25
5 11 25
16 17 17
11 3 25
50 59 25
25 33 25
38 2 25
4 59 25
1 19 4
32 50 4
54 13 25
9 52 9
3 39 25
26 46 25
28 42 25
18 48 25
7 2 2
41 6 25
32 4 4
22 35 25
28 20 25
7 3 25
47 58 25
21 34 25
8 20 8
51 5 25
58 67
31 26 40
34 24 57
52 37 47
56 55 40
44 47 47
21 20 57
27 47 57
10 17 17
44 19 40
35 26 40
43 33 33
6 21 15
5 28 57
24 29 40
26 7 40
8 25 47
57 15 57
55 41 40
14 4 57
40 14 40
56 33 40
49 28 57
39 8 47
25 8 47
53 30 57
38 25 47
58 37 47
7 55 11
33 46 33
53 47 57
20 11 57
45 1 57
49 22 38
43 50 2
21 49 57
8 55 40
9 32 47
9 47 47
33 36 40
50 18 40
38 56 57
15 17 15
15 38 9
4 19 40
32 44 47
41 27 40
51 9 57
2 15 40
18 25 47
21 54 57
44 26 40
57 4 57
57 13 40
44 41 40
12 8 47
32 1 47
33 55 33
10 5 57
44 11 57
39 9 39
57 47 57
48 10 57
8 19 40
10 34 5
3 56 57
57 7 12
44 41 40
3 1
1 2 3
40 25
27 34 19
21 2 19
33 3 19
2 28 3
30 26 12
5 39 19
3 15 34
16 12 36
34 15 19
5 34 21
39 26 19
31 19 19
7 25 19
30 17 21
27 5 19
11 9 19
24 12 36
21 37 21
29 23 22
28 27 19
22 1 22
19 2 19
36 28 19
39 35 19
21 9 5
25 76
21 11 13
10 2 5
25 10 13
6 2 23
23 10 23
23 6 23
10 9 12
10 3 13
15 4 13
20 18 13
15 18 18
6 18 18
14 11 11
18 24 18
18 1 18
25 12 13
13 22 13
6 10 12
8 24 13
15 3 13
14 9 13
17 9 13
15 2 2
7 8 13
11 24 13
3 2 13
21 16 13
24 5 18
17 22 13
3 20 3
23 15 23
5 4 13
18 20 13
16 5 16
18 8 13
5 17 13
22 3 13
6 8 5
24 20 13
7 20 13
1 17 13
15 12 23
18 22 18
2 10 23
13 22 13
22 3 13
24 13 13
10 17 13
14 22 13
22 2 18
24 23 23
3 19 13
21 10 13
22 25 13
18 1 18
6 8 13
2 12 23
12 25 13
14 16 13
10 12 6
8 2 13
4 8 13
21 23 13
18 21 13
1 25 13
19 6 12
2 4 13
15 19 23
10 13 13
13 21 13
12 10 12
25 20 13
13 3 12
19 10 12
4 22 2
18 15 18
20 30
8 6 8
14 5 4
18 15 4
7 6 8
12 16 4
9 15 4
18 2 4
8 13 8
14 17 4
2 8 8
2 20 17
12 10 4
1 3 4
5 3 4
5 2 4
19 16 4
7 9 4
3 10 3
5 11 5
13 6 6
6 9 4
18 20 4
5 18 4
8 14 4
6 9 4
16 3 3
15 20 8
10 18 18
16 9 4
11 18 4
31 32
2 1 9
10 19 9
20 7 5
18 8 19
12 25 9
2 25 20
30 2 2
28 16 5
13 19 19
21 4 5
7 9 9
20 9 9
21 27 9
21 7 5
30 6 9
5 1 9
6 2 9
17 27 9
2 6 9
1 3 3
9 24 9
17 10 5
7 12 9
1 26 9
24 11 5
9 7 9
29 5 5
20 15 20
8 1 19
7 4 5
14 26 9
31 3 9
45 97
20 5 44
7 4 44
1 34 25
7 18 5
45 34 8
17 44 44
22 29 22
39 12 12
41 9 21
6 16 44
19 40 8
22 41 5
33 30 44
14 42 21
27 38 5
16 20 44
10 24 25
36 17 44
31 1 44
35 12 8
1 5 5
28 29 5
40 36 44
20 36 37
15 6 44
5 40 8
14 15 21
42 26 44
31 22 44
34 11 25
24 43 44
22 18 5
14 24 21
31 10 44
38 3 25
45 12 45
22 18 5
35 42 25
7 25 5
38 19 18
31 39 44
1 30 5
32 5 5
37 27 44
19 27 5
41 42 7
17 24 25
15 34 18
2 16 44
39 7 44
5 7 5
42 7 5
19 36 44
27 38 5
38 16 38
3 42 1
2 36 44
41 1 21
4 15 44
4 15 44
19 11 25
27 41 5
29 37 44
7 12 8
1 10 25
17 35 18
40 3 8
8 38 8
35 41 21
22 41 5
32 31 44
3 19 25
45 39 44
21 36 44
10 4 44
43 20 37
12 11 8
44 20 44
20 42 44
5 26 44
35 42 25
19 4 36
22 7 22
37 42 44
20 18 44
17 33 44
20 16 44
7 15 5
5 1 42
33 6 36
40 1 8
14 17 21
45 26 44
8 17 8
25 38 25
39 2 39
1 24 25
60 120
58 19 43
1 31 43
11 23 30
23 25 30
13 30 30
22 50 43
26 56 43
15 51 30
22 47 43
57 55 30
60 15 43
1 21 43
22 4 43
60 41 43
27 8 43
1 31 43
45 50 30
26 25 20
45 19 35
11 37 30
51 12 20
45 57 30
20 53 43
14 25 30
26 36 30
31 24 43
48 11 30
60 22 43
33 25 43
60 54 43
3 1 43
23 21 30
53 21 43
9 17 43
55 7 43
54 43 43
38 43 43
6 29 30
39 35 30
40 32 35
2 9 43
4 23 30
49 60 43
34 37 30
48 42 34
42 14 34
20 39 30
8 34 34
2 28 43
43 48 43
2 44 43
4 35 30
18 2 43
37 60 43
38 45 30
44 50 30
3 2 43
43 28 43
14 9 43
39 38 34
16 11 30
27 44 43
9 40 43
44 45 30
47 15 30
56 16 43
49 37 30
4 50 30
46 29 43
55 1 43
37 22 43
23 26 30
53 47 43
57 39 34
36 17 43
54 18 30
25 16 30
42 48 34
11 38 30
10 54 43
17 54 43
19 42 30
53 30 43
3 46 3
28 5 43
52 51 30
56 14 43
8 28 43
40 55 30
17 34 43
38 43 43
47 20 20
13 28 43
18 1 43
32 8 30
53 17 43
13 24 43
27 57 43
55 21 30
29 21 34
40 60 43
45 5 30
58 27 27
32 38 30
33 32 43
37 16 30
39 14 34
3 16 30
23 21 30
50 16 30
3 48 30
22 19 43
52 34 30
2 4 43
24 35 43
38 52 30
31 53 43
24 14 43
29 2 43
58 8 43
60 120
1 15 17
30 35 14
37 56 14
35 36 45
8 11 14
22 3 14
55 23 14
50 9 53
5 21 22
43 17 14
41 5 14
48 8 14
40 4 45
9 2 14
7 53 14
28 9 14
44 25 14
55 6 14
21 7 39
43 38 39
52 16 14
41 45 45
35 58 45
12 40 45
6 26 14
4 29 14
27 11 14
56 13 14
33 39 14
49 30 14
52 14 14
7 56 30
1 19 14
40 5 14
49 51 17
15 25 14
58 24 45
5 42 14
35 22 14
3 36 14
51 26 14
17 37 14
7 30 30
20 21 14
33 55 14
43 52 14
18 11 14
45 39 14
47 20 14
54 51 14
5 31 14
18 4 14
10 54 14
39 11 39
33 10 45
48 55 48
18 29 17
60 47 14
48 20 14
23 51 14
4 33 45
38 46 14
46 50 14
13 34 14
24 36 47
33 7 14
28 1 14
15 50 14
20 5 14
17 59 14
37 60 14
54 58 14
43 30 39
40 34 14
20 45 14
39 33 14
26 14 14
31 3 14
38 56 38
50 38 14
27 29 27
56 53 14
26 43 39
58 54 14
8 56 14
12 26 14
21 44 14
13 50 14
57 51 14
41 39 14
4 16 14
2 10 45
23 25 14
26 5 39
6 28 14
41 60 14
54 23 14
29 59 14
58 32 14
58 54 14
48 17 14
4 8 45
27 53 14
33 19 14
6 55 14
28 45 14
13 25 14
9 14 14
44 10 45
27 24 14
35 12 45
25 44 14
47 19 14
34 40 14
21 55 57
16 9 14
41 23 41
57 17 14
13 28 14
38 6 14
60 120
12 15 3
4 26 58
17 24 3
56 40 12
47 22 3
60 57 3
23 45 3
60 4 58
37 28 52
60 52 52
47 5 3
44 10 52
45 22 3
18 21 3
46 18 3
49 40 52
43 19 19
3 14 3
34 56 48
59 8 48
9 17 3
11 39 3
10 12 3
39 6 3
50 24 58
18 54 3
39 54 3
13 5 5
12 37 3
48 32 3
58 60 58
54 51 58
13 5 5
54 36 48
48 20 48
15 29 52
12 46 3
44 48 48
6 52 52
16 6 52
7 11 3
43 10 48
14 55 14
11 36 3
7 8 48
32 23 3
45 36 3
57 55 3
56 44 48
21 16 58
57 32 3
37 23 52
40 27 3
28 20 52
55 29 3
33 52 52
28 24 58
25 38 48
2 45 3
14 55 14
52 42 52
12 3 3
4 22 3
3 47 3
16 25 48
14 22 9
39 9 30
35 17 3
20 9 3
30 11 3
51 23 51
7 60 58
37 35 29
31 39 3
42 17 3
32 25 3
46 58 3
22 54 3
25 3 3
8 17 3
9 3 3
40 32 3
7 59 58
30 20 52
40 50 52
28 35 52
2 25 48
38 47 3
60 49 58
35 41 29
31 48 48
6 12 3
54 40 52
41 33 52
59 28 58
33 47 3
15 13 52
43 14 3
58 34 58
20 37 52
56 33 48
30 37 52
20 48 48
60 34 58
24 13 52
25 34 48
38 59 48
41 11 3
40 22 3
50 47 3
57 43 39
43 16 48
34 60 58
19 56 19
50 31 52
21 57 3
33 57 3
11 58 3
6 31 29
11 32 3
60 120
5 14 14
23 11 14
56 26 14
17 48 14
20 36 14
59 34 14
50 11 50
44 29 14
52 56 14
52 23 14
51 56 14
12 10 1
47 5 14
16 41 1
43 28 14
3 35 7
47 32 4
7 5 14
55 25 14
19 4 4
31 2 45
18 36 14
3 31 14
3 38 7
30 6 7
20 39 14
60 38 4
17 6 14
1 7 14
52 5 14
41 27 1
28 52 14
12 8 53
16 31 53
53 11 14
18 20 1
41 29 14
38 19 4
7 21 14
34 11 7
30 23 14
21 35 14
27 19 14
3 22 7
46 20 14
24 29 14
26 44 14
26 53 14
16 54 14
5 58 14
10 26 14
18 60 14
34 7 7
15 29 14
17 53 53
42 52 14
45 19 14
31 35 14
54 21 14
13 34 14
6 10 14
21 58 14
38 52 7
48 54 7
30 54 7
43 40 7
30 40 7
55 56 1
24 2 1
12 27 53
50 23 14
43 5 14
31 20 1
10 44 14
30 2 14
40 58 7
52 47 7
27 2 53
53 49 14
31 51 14
55 24 1
54 27 14
16 4 14
16 8 53
26 20 14
54 22 7
50 16 14
32 19 4
3 55 14
37 32 14
58 25 4
51 19 14
45 6 14
5 31 14
34 48 7
18 24 1
43 13 14
57 41 14
12 30 14
17 25 14
58 60 4
48 41 14
56 2 1
34 60 4
58 13 14
32 41 14
28 10 1
47 31 14
21 47 14
44 31 14
29 22 14
27 54 14
5 11 14
5 24 14
16 42 53
24 45 1
29 6 14
35 59 14
45 47 14
60 30 4
28 115
27 19 18
14 11 18
18 23 28
16 2 28
23 5 28
9 11 28
6 3 18
25 17 28
22 26 28
7 17 7
23 6 28
17 11 28
7 22 28
18 21 28
13 25 28
19 18 18
7 6 28
21 1 28
6 24 28
3 13 28
10 23 23
15 28 28
14 7 28
28 22 28
18 13 28
13 3 28
13 17 13
18 11 18
11 22 22
8 16 28
11 7 28
15 1 23
15 22 28
22 28 28
7 23 28
23 1 23
15 25 28
9 12 28
15 17 28
8 26 28
26 21 28
5 27 18
13 11 28
10 22 28
6 13 28
19 17 28
24 18 28
19 22 22
15 18 28
2 12 18
12 4 18
23 13 28
24 12 28
23 26 23
16 11 28
25 7 28
5 15 28
14 1 28
6 2 18
23 18 28
6 20 28
15 17 28
12 3 3
23 13 28
2 24 28
22 18 18
4 16 28
1 20 1
24 8 28
14 25 18
17 16 16
10 11 28
22 1 28
12 27 18
5 26 28
1 10 23
10 2 28
7 15 28
11 4 18
28 14 28
3 8 28
26 19 28
6 8 28
14 16 28
12 9 28
3 22 18
11 17 28
18 9 28
15 23 23
25 26 28
5 14 18
5 28 28
23 16 28
10 27 28
7 17 7
11 18 18
13 17 13
8 13 28
24 8 28
26 27 28
21 5 28
11 13 28
21 10 28
16 13 16
1 25 28
12 20 28
14 2 18
12 27 18
4 15 28
3 17 28
16 2 28
17 3 28
4 9 28
5 6 18
23 17 28
7 74
7 2 7
2 7 7
5 1 6
2 4 6
1 6 6
4 1 6
5 6 6
7 1 7
7 6 7
7 6 7
4 7 7
6 7 7
2 3 3
2 4 6
7 3 7
7 6 7
4 5 6
2 4 6
5 1 6
3 5 3
2 6 6
2 6 6
4 5 6
2 1 6
1 6 6
3 1 6
7 1 7
2 3 3
7 1 7
6 7 7
6 4 6
4 2 6
6 3 6
7 4 7
5 4 6
4 3 6
4 3 6
1 5 6
3 5 3
3 2 3
4 3 6
1 6 6
5 7 7
1 2 6
7 1 7
3 5 3
6 1 6
2 4 6
4 5 6
1 3 6
2 6 6
4 3 6
6 1 6
2 4 6
6 2 6
6 3 6
4 1 6
4 7 7
5 4 6
6 7 7
6 2 6
5 6 6
6 4 6
4 6 6
6 4 6
1 6 6
7 5 7
1 4 6
1 4 6
1 7 7
4 3 6
5 2 2
4 2 6
6 5 6
28 52
23 21 5
17 12 17
4 19 5
1 7 5
2 27 5
9 26 5
3 8 5
1 18 18
11 17 5
10 14 5
8 15 5
17 8 5
13 23 4
25 18 18
4 20 5
15 6 5
1 20 1
10 13 13
10 19 5
6 13 5
6 22 5
2 23 5
12 17 17
8 12 5
16 13 13
5 19 5
6 22 5
4 13 4
3 13 4
21 19 5
21 11 5
16 8 5
20 16 5
20 28 28
20 4 5
6 25 1
27 13 5
22 9 5
6 26 5
22 1 5
5 1 5
19 11 11
13 17 5
5 9 5
26 24 5
8 27 5
15 26 4
10 4 4
9 5 5
18 21 17
6 26 5
4 7 5
37 61
37 10 15
37 13 32
11 34 9
16 9 9
20 2 32
16 30 32
12 5 34
14 35 16
15 16 32
1 28 9
5 3 9
34 25 9
23 36 31
27 1 9
25 12 9
6 11 9
16 10 32
7 15 32
28 3 9
10 32 32
6 31 9
29 7 16
16 5 9
30 6 9
16 20 16
36 11 31
12 24 9
14 28 16
29 25 32
4 23 9
16 4 9
16 4 9
11 35 16
12 25 9
19 7 32
12 10 9
37 26 9
25 37 15
20 31 31
2 27 9
18 6 9
27 20 9
6 24 9
8 29 9
21 28 28
4 36 9
33 12 34
3 35 9
1 8 9
32 19 32
26 32 9
33 10 9
22 9 9
31 28 31
13 29 31
14 34 9
8 32 9
33 6 9
32 27 9
23 20 16
6 36 9
60 120
14 1 13
50 14 23
1 34 57
31 21 57
34 52 57
51 42 22
60 21 22
21 45 13
52 20 13
34 46 57
3 33 13
41 58 13
26 39 13
16 32 13
36 48 13
19 9 22
47 44 22
57 8 13
40 23 13
16 30 22
38 49 13
28 22 22
51 16 22
40 41 22
24 42 57
9 59 13
19 42 57
44 8 13
29 59 13
21 48 22
55 16 22
51 19 22
34 5 13
41 36 13
33 60 13
21 33 13
39 20 13
32 33 23
3 41 6
42 21 42
18 45 13
17 55 13
9 48 9
14 22 13
33 56 13
1 47 6
48 33 13
32 9 13
50 22 13
17 53 13
54 44 22
16 41 22
52 44 22
60 52 22
56 50 13
33 21 13
47 7 22
37 9 9
39 24 22
3 56 22
28 43 28
53 27 13
23 2 23
23 39 13
15 13 13
59 16 13
40 44 16
9 18 22
10 27 13
46 51 22
40 59 13
10 27 13
3 7 22
11 50 13
14 40 13
14 21 13
13 15 13
15 25 13
44 46 22
34 5 13
42 27 13
38 47 22
20 55 13
14 15 59
2 59 23
52 35 22
54 43 6
32 13 13
30 49 13
35 52 22
55 2 13
49 26 36
44 4 13
25 22 22
55 36 13
46 3 6
52 26 13
42 11 22
55 12 22
4 1 13
32 30 13
3 46 6
59 56 13
42 59 13
51 29 22
15 1 13
52 33 13
46 7 22
10 8 13
24 44 22
53 13 13
35 22 22
45 43 13
18 3 6
33 23 23
3 58 13
46 7 22
58 42 13
54 31 6
1 34 57
46 103
32 3 11
44 43 15
21 32 25
6 20 11
34 12 25
28 30 25
43 28 11
19 16 25
37 22 11
23 13 25
13 35 25
38 40 26
29 2 5
19 21 25
33 29 26
17 35 25
45 28 11
10 2 25
20 40 32
39 19 11
14 12 25
21 27 25
34 1 11
37 16 25
28 20 11
5 18 11
35 2 25
19 38 15
35 32 25
40 44 25
36 25 25
27 45 26
5 16 25
27 19 5
27 41 5
32 26 26
38 20 26
20 41 26
4 24 25
23 26 25
34 28 11
11 6 11
2 23 25
35 32 25
9 41 25
20 36 11
28 31 11
37 12 25
43 44 15
24 2 25
35 26 25
33 16 25
46 4 25
34 7 11
37 6 11
23 20 25
26 34 26
42 8 25
41 6 11
30 43 25
36 39 39
2 22 11
25 27 25
41 38 15
9 13 25
41 3 11
35 42 25
37 7 11
20 17 26
30 21 27
28 41 11
14 43 25
2 46 25
10 14 10
29 25 25
22 3 11
20 18 11
15 23 25
44 35 25
20 35 25
32 12 25
3 23 25
31 27 5
37 16 25
5 26 26
23 17 25
20 14 25
33 22 11
44 40 25
13 6 11
21 35 35
24 31 25
38 12 25
29 25 25
14 1 25
28 25 25
31 7 11
12 18 25
28 31 11
14 20 25
25 2 25
26 16 25
46 9 25
58 31
7 9 9
22 57 22
30 3 48
37 36 48
35 33 22
14 18 48
58 55 22
38 39 4
14 32 14
53 29 39
22 39 4
16 49 48
29 37 4
49 28 22
51 47 48
31 44 48
27 38 48
45 19 43
35 10 4
9 51 48
27 55 22
34 1 48
17 12 43
8 24 48
20 15 48
38 52 48
14 2 48
41 48 48
28 52 22
15 22 22
